,Address,Area,Bathrooms,Possession,Price,Project Name,Rooms,Status
0,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
2,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
3,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
4,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
5,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
6,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
7,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
8,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
9,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
10,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
11,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
12,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
13,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
14,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
15,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
16,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
17,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
18,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
19,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
20,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
21,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
22,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
23,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
24,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
25,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
26,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
27,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
28,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
29,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
30,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
31,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
32,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
33,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
34,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
35,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
36,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
37,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
38,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
39,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
40,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
41,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
42,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
43,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
44,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
45,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
46,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
47,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
48,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
49,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
50,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
51,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
52,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
53,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
54,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
55,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
56,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
57,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
58,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
59,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
60,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
61,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
62,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
63,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
64,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
65,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
66,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
67,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
68,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
69,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
70,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
71,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
72,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
73,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
74,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
75,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
76,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
77,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
78,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
79,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
80,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
81,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
82,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
83,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
84,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
85,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
86,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
87,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
88,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
89,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
90,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
91,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
92,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
93,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
94,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
95,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
96,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
97,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
98,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
99,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
100,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
101,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
102,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
103,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
104,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
105,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
106,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
107,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
108,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
109,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
110,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
111,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
112,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
113,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
114,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
115,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
116,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
117,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
118,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
119,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
120,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
121,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
122,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
123,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
124,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
125,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
126,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
127,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
128,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
129,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
130,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
131,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
132,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
133,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
134,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
135,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
136,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
137,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
138,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
139,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
140,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
141,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
142,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
143,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
144,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
145,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
146,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
147,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
148,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
149,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
150,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
151,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
152,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
153,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
154,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
155,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
156,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
157,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
158,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
159,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
160,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
161,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
162,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
163,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
164,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
165,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
166,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
167,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
168,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
169,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
170,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
171,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
172,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
173,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
174,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
175,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
176,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
177,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
178,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
179,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
180,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
181,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
182,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
183,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
184,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
185,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
186,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
187,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
188,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
189,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
190,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
191,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
192,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
193,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
194,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
195,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
196,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
197,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
198,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
199,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
200,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
201,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
202,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
203,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
204,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
205,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
206,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
207,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
208,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
209,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
210,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
211,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
212,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
213,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
214,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
215,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
216,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
217,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
218,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
219,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
220,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
221,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
222,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
223,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
224,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
225,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
226,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
227,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
228,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
229,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
230,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
231,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
232,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
233,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
234,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
235,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
236,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
237,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
238,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
239,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
240,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
241,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
242,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
243,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
244,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
245,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
246,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
247,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
248,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
249,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
250,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
251,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
252,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
253,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
254,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
255,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
256,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
257,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
258,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
259,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
260,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
261,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
262,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
263,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
264,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
265,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
266,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
267,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
268,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
269,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
270,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
271,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
272,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
273,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
274,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
275,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
276,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
277,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
278,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
279,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
280,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
281,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
282,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
283,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
284,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
285,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
286,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
287,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
288,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
289,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
290,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
291,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
292,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
293,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
294,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
295,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
296,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
297,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
298,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
299,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
