,Address,Area,Bathrooms,Possession,Price,Project Name,Rooms,Status
988,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
989,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
990,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
991,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
992,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
993,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
994,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
995,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
996,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
997,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
998,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
999,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1000,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1001,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1002,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1003,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1004,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1005,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1006,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1007,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1008,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1009,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1010,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1011,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1012,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1013,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1014,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1015,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1016,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1017,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1018,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1019,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1020,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1021,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1022,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1023,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1024,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1025,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1026,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1027,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1028,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1029,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1030,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1031,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1032,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1033,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1034,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1035,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1036,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1037,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1038,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1039,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1040,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1041,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1042,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1043,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1044,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1045,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1046,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1047,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1048,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1049,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1050,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1051,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1052,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1053,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1054,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1055,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1056,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1057,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1058,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1059,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1060,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1061,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1062,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1063,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1064,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1065,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1066,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1067,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1068,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1069,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1070,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1071,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1072,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1073,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1074,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1075,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1076,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1077,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
